offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,avg_send_time,avg_recv_time,system_clock_time
37.7101,4.00004,32,100,60,1,0.0008,2591,692.937,389.232,800
39.0559,4.00004,32,100,60,1,0.0016,5020,625.04,347.035,800
39.5095,4.00004,32,100,60,1,0.0032,10241,551.265,342.52,800
1.03836,4.00004,32,100,60,2,0.0001,51,2113.73,405.229,800
16.3348,4.00004,32,100,60,2,0.0002,360,1187.5,393.958,1000
30.5695,4.00004,32,100,60,2,0.0004,1095,783.47,415.906,800
38.1037,4.00004,32,100,60,2,0.0008,2572,693.39,426.821,1000
38.9359,4.00004,32,100,60,2,0.0016,5103,626.965,337.491,800
39.4511,4.00004,32,100,60,2,0.0032,10064,557.512,331.786,800
1.16677,4.00004,32,100,60,4,0.0001,121,1622.31,548.14,1700
13.1191,4.00004,32,100,60,4,0.0002,290,1220,615.977,800
36.6996,4.00004,32,100,60,4,0.0004,1190,747.815,390.873,900
37.9929,4.00004,32,100,60,4,0.0008,2546,700.393,391.699,800
37.0692,4.00004,32,100,60,4,0.0016,5083,637.419,368.404,800
39.4902,4.00004,32,100,60,4,0.0032,10239,552.427,338.532,700
1.52112,4.00004,32,100,60,8,0.0001,106,1574.53,451.101,1300
8.36503,4.00004,32,100,60,8,0.0002,240,1243.33,672.66,1000
32.6671,4.00004,32,100,60,8,0.0004,1019,1008.83,780.528,1000
36.1614,4.00004,32,100,60,8,0.0008,2548,675.196,388.259,800
36.9746,4.00004,32,100,60,8,0.0016,5081,613.796,354.809,900
39.5009,4.00004,32,100,60,8,0.0032,10068,553.834,337.259,900
1.35883,4.00004,32,100,60,16,0.0001,106,1281.13,492.862,1500
11.2894,4.00004,32,100,60,16,0.0002,298,1181.88,676.331,1700
30.3978,4.00004,32,100,60,16,0.0004,919,801.523,513.298,900
38.1164,4.00004,32,100,60,16,0.0008,2520,655.595,363.912,800
39.0602,4.00004,32,100,60,16,0.0016,5140,662.646,428.57,800
39.4548,4.00004,32,100,60,16,0.0032,10317,548.037,336.96,800
3.00692,4.00004,32,100,60,32,0.0001,108,1201.85,433.102,1100
21.7796,4.00004,32,100,60,32,0.0002,373,886.595,490.282,900
32.4842,4.00004,32,100,60,32,0.0004,1122,765.508,453.923,1100
37.6253,4.00004,32,100,60,32,0.0008,2504,671.486,387.979,800
38.9421,4.00004,32,100,60,32,0.0016,5178,615.585,378.745,800
37.5329,4.00004,32,100,60,32,0.0032,10281,556.901,336.63,800
1.44038,4.00004,32,100,60,64,0.0001,92,1370.65,567.935,1000
12.769,4.00004,32,100,60,64,0.0002,313,1110.22,511.885,2900
33.5137,4.00004,32,100,60,64,0.0004,1099,819.563,650.121,800
36.2092,4.00004,32,100,60,64,0.0008,2506,650.798,367.382,900
37.1005,4.00004,32,100,60,64,0.0016,5157,595.366,364.763,900
37.4593,4.00004,32,100,60,64,0.0032,10314,557,316.628,800
0.481598,4.00004,32,150,20,1,0.0001,69,1431.88,364.372,1000
2.82078,4.00004,32,150,20,1,0.0002,136,1320.59,408.517,900
21.2722,4.00004,32,150,20,1,0.0004,481,900.832,438.954,1100
32.5281,4.00004,32,150,20,1,0.0008,2088,680.891,378.601,800
39.1304,4.00004,32,150,20,1,0.0016,5158,667.759,427.175,800
39.3865,4.00004,32,150,20,1,0.0032,10190,586.869,345.252,800
0.404093,4.00004,32,150,20,2,0.0001,59,1516.95,390.96,2100
2.13447,4.00004,32,150,20,2,0.0002,156,1253.85,473.59,1300
21.4862,4.00004,32,150,20,2,0.0004,566,816.784,406.723,900
33.875,4.00004,32,150,20,2,0.0008,2008,705.129,377.418,900
38.9235,4.00004,32,150,20,2,0.0016,5178,644.264,361.967,800
39.4308,4.00004,32,150,20,2,0.0032,10308,596.517,342.57,900
0.56248,4.00004,32,150,20,4,0.0001,61,1808.2,381.694,1200
2.25527,4.00004,32,150,20,4,0.0002,201,1129.85,420.638,1000
18.6204,4.00004,32,150,20,4,0.0004,598,977.09,518.779,1000
37.5626,4.00004,32,150,20,4,0.0008,1942,679.094,356.337,800
36.8777,4.00004,32,150,20,4,0.0016,5061,639.103,366.09,800
39.4726,4.00004,32,150,20,4,0.0032,10339,570.355,350.169,800
0.668563,4.00004,32,150,20,8,0.0001,89,1405.62,429.963,1100
1.68065,4.00004,32,150,20,8,0.0002,160,1141.88,378.568,1100
24.5657,4.00004,32,150,20,8,0.0004,658,839.058,424.41,800
34.8925,4.00004,32,150,20,8,0.0008,2112,705.208,412.069,900
38.9343,4.00004,32,150,20,8,0.0016,5080,608.524,347.766,800
37.5469,4.00004,32,150,20,8,0.0032,10391,561.63,335.068,800
0.701643,4.00004,32,150,20,16,0.0001,83,1407.23,386.145,1000
1.24458,4.00004,32,150,20,16,0.0002,173,1234.1,432.187,1600
18.7044,4.00004,32,150,20,16,0.0004,549,958.47,579.255,1100
34.7673,4.00004,32,150,20,16,0.0008,1985,657.935,374.997,800
36.9928,4.00004,32,150,20,16,0.0016,5173,622.501,360.358,900
39.5525,4.00004,32,150,20,16,0.0032,10312,587.481,363.955,800
0.217104,4.00004,32,150,20,32,0.0001,52,1334.62,412.5,1300
1.26647,4.00004,32,150,20,32,0.0002,174,1527.59,431.082,1200
19.5733,4.00004,32,150,20,32,0.0004,488,927.049,465.797,900
35.0415,4.00004,32,150,20,32,0.0008,2301,677.401,391.739,800
36.9679,4.00004,32,150,20,32,0.0016,5173,664.005,414.842,800
37.5065,4.00004,32,150,20,32,0.0032,10249,566.084,314.292,800
0.246443,4.00004,32,150,20,64,0.0001,76,1352.63,375.899,1300
0.608653,4.00004,32,150,20,64,0.0002,152,1115.79,432.5,1100
18.4045,4.00004,32,150,20,64,0.0004,477,1032.08,625.772,900
36.0162,4.00004,32,150,20,64,0.0008,1694,657.969,385.134,800
39.0761,4.00004,32,150,20,64,0.0016,5133,604.793,336.273,800
