offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
28.5833,0.0586906,32,100,60,32,0.004,1250,9146641,18781,60,3
30.2168,0.107334,32,100,60,32,0.008,2525,9669378,34347,31,3
30.9693,0.191891,32,100,60,32,0.016,5208,9910183,61405,21,5
31.3218,0.296241,32,100,60,32,0.032,10174,10022979,94797,12,8
18.5798,0.0205906,32,100,60,64,0.001,356,5945527,6589,99,1
25.0748,0.0285031,32,100,60,64,0.002,626,8023921,9121,99,2
28.6411,0.0575469,32,100,60,64,0.004,1318,9165142,18415,68,2
30.0644,0.1049,32,100,60,64,0.008,2527,9620606,33568,35,4
30.6462,0.188725,32,100,60,64,0.016,5113,9806796,60392,21,5
31.0959,0.293859,32,100,60,64,0.032,10311,9950682,94035,13,7
11.5747,0.0125531,32,150,20,1,0.001,323,3703902,4017,149,1
23.452,0.02575,32,150,20,1,0.002,624,7504626,8240,149,1
29.0589,0.0331125,32,150,20,1,0.004,1273,9298849,10596,149,2
30.1766,0.0520938,32,150,20,1,0.008,2514,9656498,16670,101,2
31.293,0.0879469,32,150,20,1,0.016,5112,10013772,28143,56,3
31.5948,0.155581,32,150,20,1,0.032,10290,10110322,49786,25,5
12.3121,0.0173469,32,150,20,2,0.001,314,3939881,5551,149,1
24.4592,0.0254031,32,150,20,2,0.002,649,7826939,8129,149,1
29.148,0.0374812,32,150,20,2,0.004,1308,9327366,11994,149,2
30.4657,0.0513938,32,150,20,2,0.008,2600,9749035,16446,105,2
31.1919,0.0905344,32,150,20,2,0.016,5108,9981414,28971,53,3
31.5891,0.150506,32,150,20,2,0.032,10312,10108501,48162,25,4
10.7599,0.0221656,32,150,20,4,0.001,224,3443181,7093,149,1
23.7286,0.0210906,32,150,20,4,0.002,623,7593159,6749,149,1
29.0353,0.0296156,32,150,20,4,0.004,1316,9291306,9477,149,2
30.4348,0.0419844,32,150,20,4,0.008,2519,9739147,13435,98,3
30.9928,0.0857625,32,150,20,4,0.016,5154,9917686,27444,51,3
31.5969,0.14635,32,150,20,4,0.032,10337,10111006,46832,33,4
9.15734,0.00932187,32,150,20,8,0.001,268,2930350,2983,149,2
23.9784,0.0222063,32,150,20,8,0.002,629,7673074,7106,149,1
28.7438,0.030625,32,150,20,8,0.004,1283,9198028,9800,149,2
30.389,0.0380719,32,150,20,8,0.008,2593,9724475,12183,110,3
